Размер массива;Тип массива;Выбор (time);Выбор (operations);Пузырёк (time);Пузырёк (operations);Пузырек Айв1 (time);Пузырек Айв1 (operations);Пузырёк Айв1+2 (time);Пузырёк Айв1+2 (operations);Вставки (time);Вставки (operations);Бин. вставки (time);Бин. вставки (operations);Подсчет (time);Подсчет (operations);Цифровая (time);Цифровая (operations);Слияние (time);Слияние (operations);Быстрая (time);Быстрая (operations);Пирамидальная (time);Пирамидальная (operations);Шелла-Циура (time);Шелла-Циура (operations);Шелла-Шелла (time);Шелла-Шелла (operations)
3400;случайные числа 0-5;10744978;28938337;2948573;55990579;3581263;57123262;3913329;42681269;887301;19507960;9961780;17887818;9636;64652;10368;107469;372806;757179;639254;4972523;148985;726288;3408296;24437902;51268;625686;
3400;случайные числа 0-4000;10718399;28957419;3167503;57744479;3743238;60597829;4203664;46116845;1067066;23015760;9912544;17791856;7341;92609;14453;204731;447656;767151;105895;404883;179568;857385;4059824;28822652;169546;913596;
3400;почти отсортированный массив;10775933;28922107;1851353;46309755;3619060;46309752;3845391;28284723;9596;146312;70990;652906;9375;92649;15519;204731;321653;698073;3463159;27589216;184560;907968;32698;235842;30763;620606;
3400;обратно отсортированный массив;10798631;30906511;1873333;69364511;3619393;75137949;3922488;63576544;2072299;46255824;19982411;35218168;9308;93315;15376;204731;326439;673869;3489336;34926582;167106;801479;8079931;57872732;27976;716416;
3500;случайные числа 0-5;11431761;30664722;3123728;59171623;3825938;60445534;4230810;45036951;941796;20350248;10045351;17880929;10063;66552;10713;110569;379344;781727;674271;5274023;155786;750589;3555509;25492462;46658;628638;
3500;случайные числа 0-4000;11352925;30684946;3328003;61143651;3943511;64163777;4401626;48796197;1105113;24294304;10288326;18768375;7415;94523;13886;210631;462271;791867;110986;408726;185670;885266;4243273;30422532;172378;913268;
3500;почти отсортированный массив;11335775;30647757;1953874;49071843;3802244;49072137;4047568;29991555;10550;150688;73728;675026;9679;94548;16188;210631;334278;719927;3646201;29291030;188918;937062;34206;243012;29053;626138;
3500;обратно отсортированный массив;11512158;32726779;1992906;73504491;3805345;79622747;4121066;67371250;2176194;49015984;20994336;37306241;9731;95208;15955;210631;335010;695711;3672663;37009453;169903;830719;8452115;61324632;29368;736138;
3600;случайные числа 0-5;12019324;32440631;3299304;62815951;4011056;64065887;4373006;47878817;996081;21959104;10792081;19247339;10611;68451;10874;113669;403696;804727;737100;5590568;167453;770637;3931160;27505232;64559;675340;
3600;случайные числа 0-4000;12022880;32461173;3550106;64759507;4270000;67935924;4651506;51731597;1172833;25846216;10952520;19948417;7458;96427;14309;216531;468185;816577;115483;403693;192823;915567;4505285;32364122;189008;1083710;
3600;почти отсортированный массив;12029775;32423412;2056361;51913951;4033725;51914147;4304259;31748375;10431;155104;75571;696261;9716;96443;16658;216531;347943;741133;3802798;31138342;195996;966685;34743;250232;27530;636720;
3600;обратно отсортированный массив;12194728;34610711;2073061;77764487;4025339;84237517;4368748;71275944;2347890;51856176;22189580;39454225;11043;97115;16535;216531;352403;718405;3846108;38635202;175326;856071;8922201;64876572;31321;771480;
3700;случайные числа 0-5;12801833;34266601;3559286;65968923;4267720;67172717;4632015;49968193;1017288;22425248;11057294;19848911;10496;70351;11304;116769;410436;829209;748433;5870088;164651;801753;3914784;28089612;50984;666558;
3700;случайные числа 0-4000;12713331;34287593;3708576;68706835;4536133;72165347;4929308;55051046;1284959;27901072;11922116;21505976;7451;98322;14768;222431;491018;841431;117088;455375;197161;940859;4913820;34934392;191790;1019158;
3700;почти отсортированный массив;12768226;34249062;2199261;54836051;4261301;54836947;4518456;33555267;11081;159504;79353;716046;11258;98347;17463;222431;349211;763221;2638834;42339461;201828;995935;35743;257432;28643;649808;
3700;обратно отсортированный массив;12730726;36535639;2203870;82144535;4254433;88982352;4604505;75290716;2432356;54776472;23539628;41662837;10093;99008;16903;222431;366998;739641;4137608;41583858;183145;881809;9451296;68528642;32580;789108;
3800;случайные числа 0-5;13373881;36142743;3657371;69901551;4458945;71447309;4917389;53310709;1101103;24290704;12612586;22499371;12243;72254;12073;119869;429130;853259;810318;6197813;173696;823461;4264370;30423132;57928;689108;
3800;случайные числа 0-4000;13548525;36164682;3917313;72042903;4697175;75599159;5220440;57474237;1311141;28573408;12180510;22027841;7649;100219;15199;228331;507316;866579;125990;470458;212199;970154;5037155;35776512;192961;975158;
3800;почти отсортированный массив;13453939;36124707;2303490;57838155;4531398;57839352;4817676;35412123;11046;163912;81730;738531;10396;100220;17628;228331;362820;784919;4349740;34629296;208545;1024839;36808;264642;32818;681188;
3800;обратно отсортированный массив;13417418;38446152;2308356;86644119;4502441;93856607;4863125;79414792;2570290;57775840;24751135;43929702;10669;100908;17804;228331;370065;761831;4296955;42733094;187223;909485;10070796;72279552;35849;809508;
3900;случайные числа 0-5;14179468;38068928;3909043;73561987;4707025;74897693;5153499;55928145;1155258;25451776;12807453;22862084;11319;74150;11816;122969;424999;877843;844135;6527198;174726;837364;4495518;31876172;52945;698304;
3900;случайные числа 0-4000;14312138;38091990;4124601;76230223;4939351;80059988;5494055;61062594;1408548;30788248;13026073;23705667;7901;102118;15481;234231;527910;891361;124698;470351;211256;997730;5461608;38546762;200216;1035474;
3900;почти отсортированный массив;14129295;38050362;2432831;60920251;4735539;60921347;5074993;37318925;11395;168304;84388;760050;11109;102126;18345;234231;371895;806425;4480459;36557978;212941;1055469;38068;271832;31743;685624;
3900;обратно отсортированный массив;14255955;40564242;2443060;91264591;4764441;98861964;5149494;83650193;2703725;60856984;26232303;46259139;10690;102801;18033;234231;371708;783895;4531833;44990266;193311;937592;10489181;76132682;35226;840624;
4000;случайные числа 0-5;15300348;40045380;4212269;77527003;5118386;78987074;5482943;59057556;1228060;27062008;13277149;23706588;11529;76050;12158;126069;428486;903495;880758;6899673;178891;862682;4724788;33890662;72714;752852;
4000;случайные числа 0-4000;14847753;40069100;4299379;80064415;5128789;84061727;5647888;64078413;1447206;32136832;13591676;24736033;8216;104020;15916;240131;532966;915819;134825;490103;221698;1027338;5603015;40234192;214505;1128832;
4000;почти отсортированный массив;14841916;40026012;2533185;64082347;4985735;64084142;5287680;39275811;12044;172696;86948;781108;11250;104041;18988;240131;366125;827709;3000039;48017306;220431;1083663;40393;279022;31716;708042;
4000;обратно отсортированный массив;14871864;42580672;2562318;96004067;4965660;103996092;5393956;87994114;2848368;64016136;27335059;48645582;11258;104715;19029;240131;383344;806679;4746483;46628517;198063;963606;11051431;80083322;34906;859292;
4100;случайные числа 0-5;15594948;42071172;4229908;81120535;5179820;82831124;5665478;61731279;1254071;27769272;13568088;24309846;11643;77952;12486;129169;427054;926221;922330;7183953;187075;894295;4843428;34776442;77291;849932;
4100;случайные числа 0-4000;15633714;42095865;4488763;84104303;5402766;88297474;5914698;67221782;1517201;33736808;14334725;25951484;8130;105922;16275;246031;525388;940753;131033;485509;221073;1055627;5893488;42235862;238740;1679552;
4100;почти отсортированный массив;15624846;42051657;2658398;67324455;5215966;67326552;5560204;41282673;12308;177112;89303;802657;11393;105939;19356;246031;372158;848647;4960171;40478652;223738;1114332;39951;286242;39093;854342;
4100;обратно отсортированный массив;15650920;44737587;2688853;100864099;5219475;109260899;5656706;92448855;2980206;67256400;28766079;51094008;11750;106601;19573;246031;383606;829381;4981850;48707667;203741;989758;11578211;84135352;35788;925572;
