Длина паттерна в символах;Тип шаблона;Наивный Алгоритм;КМП стандарт;КМП утонченный;Z-функция
2000;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (4 символов подстановки);129527046;98069143;100033263;183039772;
2100;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (4 символов подстановки);129235273;98524438;100695726;184481113;
2200;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (4 символов подстановки);130168828;98714038;100993270;185069423;
2300;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (4 символов подстановки);129880335;98686192;100490918;184953632;
2400;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (4 символов подстановки);129163816;97889150;100377309;185139551;
2500;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (4 символов подстановки);129439076;99192512;101783959;185539320;
2600;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (4 символов подстановки);128855570;98163687;100860819;185464054;
2700;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (4 символов подстановки);129037161;98445098;99669396;185811105;
2800;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (4 символов подстановки);128873858;99723114;102625341;186100738;
2900;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (4 символов подстановки);129308068;99865824;102873049;186446267;
3000;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (4 символов подстановки);128959012;99994850;103001574;186422437;
