Длина паттерна в символах;Тип шаблона;Наивный Алгоритм;КМП стандарт;КМП утонченный;Z-функция
2000;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (1 символов подстановки);187740;198000;230363;346487;
2100;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (1 символов подстановки);190437;200305;234298;351262;
2200;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (1 символов подстановки);191970;202685;238285;355275;
2300;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (1 символов подстановки);181069;205505;242746;354743;
2400;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (1 символов подстановки);178373;207843;246699;356783;
2500;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (1 символов подстановки);169654;209150;246885;358695;
2600;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (1 символов подстановки);188932;211176;251410;368302;
2700;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (1 символов подстановки);183993;215148;258899;370289;
2800;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (1 символов подстановки);178776;217432;262226;371074;
2900;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (1 символов подстановки);185976;218340;263490;378103;
3000;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (1 символов подстановки);185573;222594;271234;381173;
100;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (1 символов подстановки);2062249;1472205;1473808;2827002;
200;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (1 символов подстановки);2061209;1491188;1494419;2827443;
300;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (1 символов подстановки);2060871;1496114;1500935;2834894;
400;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (1 символов подстановки);2065749;1485320;1458897;2838948;
500;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (1 символов подстановки);2061205;1499761;1507837;2839943;
600;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (1 символов подстановки);2058930;1503650;1513346;2845252;
700;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (1 символов подстановки);2051658;1502741;1514060;2842348;
800;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (1 символов подстановки);2047691;1501753;1514670;2840073;
900;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (1 символов подстановки);2054250;1511235;1525813;2854053;
1000;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (1 символов подстановки);2057803;1512338;1528508;2858401;
1100;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (1 символов подстановки);2045812;1514802;1532598;2857086;
1200;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (1 символов подстановки);2052609;1517348;1536309;2863450;
